English Translation,Standard Bangla Lanuguage,Romanized Bangla,Chittagong Language,Romanized Chittagong Language,Sylhet Language,Romanized Sylhet Language
Hand hurts.,হাত ব্যাথা করছে,Haat betha korche,আট টনটন গরের ,Aat tonton gorer,হাতও বেদনা করের ,Hato bedona korer
Hurts.,ব্যাথা করছে,Betha korche,টনটন গরের ,Tonton gorer,বেদনা করের ,Bedona korer
My hand hurts.,আমার হাত ব্যাথা ,Amar haat betha,আর আট টনটন ,Ar aat tonton,আমার হাতও বেদনা ,Amar hato bedona
Hand hurts.,হাত ব্যাথা ,Haat betha,আট টনটন,Aat tonton,হাতও বেদনা ,Hato bedona
My leg hurts.,আমার পা ব্যথা করছে,Amar pa betha korche,আর টাং টনটন গরের,Ar tang tonton gorer,আমার পাও বেদনা করের ,Amar fao bedona korer
Leg hurts.,পা ব্যথা করছে,Pa betha korche,টাং টনটন গরের,Tang tonton gorer,পাও বেদনা করের ,Fao bedona korer
My leg hurts.,আমার পা ব্যথা ,Amar pa betha,আর টাং টনটন,Ar tang tonton,আমার পাও বেদনা ,Amar fao bedona
Leg hurts.,পা ব্যথা,Pa betha,টাং টনটন,Tang tonton,পাও বেদনা,Fao bedona
Who sent you?,আপনাকে কে পাঠিয়েছে,Apnake ke pathiyeche,অনরে হন ফাদইয়ে,Onore hon fadoiye,আফনারে কে পাঠাইছে?,Afnare ke faṭaisse?
Who sent you?,কে পাঠিয়েছে,Ke pathiyeche,হন ফাদইয়ে,Hon fadoiye,কে পাঠাইছে?,Ke faṭaisse?
Sent,পাঠিয়েছে,Pathiyeche,ফাদইয়ে,Fadoiye,পাঠাইছে?,Faṭaisse?
Go ahead,আগে যান ,Aage jaan,আগে জো,Age zo,আগে জাউকা ,Age zauka
You go,আপনারা যান ,Apnara jaan,অনরা জো,Onra zo,আফনারা জাউকা ,Afnara zauka
Don’t call me,আমাকে ডাকবেন না,Amake dakben na,আরে নো ডাইক্কো,Are no daikko,আমারে ডাকবা না,Amare ḍakba na
I like,পছন্দ করি,Pochondo kori,দেহিত ফারি,Dehit fari,ভালা ফাই,Bala fai
Doctor or butcher,ডাক্তার না কসাই,Daktar na kosai,ডাক্তার না হসাই,Daktar na hosai,ডাক্তার না হসাই,Ḍaktar na hosai
You are a butcher,তুই কসাই,Tui kosai,তুঁই হসাই,Tui hosai,তুঁই হসাই,Tui hosai
Had two sons, দুটি পুত্র ছিল,Duti putro chilo,দুয়া ফোয়া আছিল্,Dua foa asil,দুই পুয়া আছিল্,Dui fua asil
A certain man had two sons,কোন এক ব্যক্তির দুটি পুত্র ছিল,Kono ek bektir duti putro chilo,উগ্গা মাইন্‌শর দুয়া ফোয়া আছিল্,Ugga mainshor dua foa asil,কোন মানুষর দুই পুয়া আছিল্,Kun manushr dui fua asil
A certain man,কোন এক ব্যক্তি,Kono ek bekti,উগ্গা মাইন্‌শ,Ugga mainsh,কোন মানুষ,Kun manush
A man had two sons,এক ব্যক্তির দুটি পুত্র ছিল,Ek bektir duti putro chilo,মাইন্‌শর দুয়া ফোয়া আছিল্,Mainshor dua foa asil,মানুষর দুই পুয়া আছিল্,Manushr dui fua asil
How would I have done it?,করতাম কিভাবে?,Kortam kibhabe?,গইত্তাম কেনে?,Goittam kene?,করতাম কিলাখান ,Kortam kilakhan
I like yellow,আমার হলুদ রং পছন্দ ,Amar holud rong pochondo,আমার হলুদ রং পছন্দ ,Amar holud rong posondo,আমার হলুদ রং পছন্দ ,Amar holud rong posondo
I like red,আমার লাল রং পছন্দ ,Amar laal rong pochondo,আমার লাল রং পছন্দ ,Amar lal rong posondo,আমার লাল রং পছন্দ ,Amar lal rong posondo
I like green,আমার সবুজ রং পছন্দ ,Amar shobuj rong pochondo,আমার সবুজ রং পছন্দ ,Amar sobuj rong posondo,আমার সবুজ রং পছন্দ ,Amar sobuz rong posondo
I like black,আমার কালো রং পছন্দ ,Amar kalo rong pochondo,আমার কালো রং পছন্দ ,Amar kalo rong posondo,আমার কালো রং পছন্দ ,Amar kalo rong posondo
I like white,আমার সাদা রং পছন্দ ,Amar shada rong pochondo,আমার সাদা রং পছন্দ ,Amar sada rong posondo,আমার সাদা রং পছন্দ ,Amar shada rong posondo
Like apple,আপেল পছন্দ ,Apple pochondo,আফেল দেহিত,Afel dehit,আপেল ভালা,Afel bala
I don’t like apples,আমি আপেল পছন্দ করি না,Ami apple pochondo kori na,আই আফেল দেহিত ফারি  না,Ai afel dehit fari na,আমি আপেল ভালা ফাই না,Ami afel bala fai na
Don’t like apples,আপেল পছন্দ করি না,Apple pochondo kori na,আফেল দেহিত ফারি  না,Afel dehit fari na,আপেল ভালা ফাই না,Afel bala fai na
Don’t like,পছন্দ করি না,Pochondo kori na,দেহিত ফারি না,Dehit fari na,ভালা ফাই না,Bala fai na
Take me along,আমাকে নিয়ে চলুন,Amake niye cholun,আরে লই জো,Are loi zo,আমারে লইগা যাউকগা ,Amare loiga zaukga
You’re a doctor,তুই ডাক্তার,Tui daktar,তুঁই ডাক্তার না হসাই,Tui daktar na hosai,তুঁই ডাক্তার না হসাই,Tui ḍaktar na hosai
I like orange,আমার কমলা রং পছন্দ ,Amar komola rong pochondo,আমার কমলা রং পছন্দ ,Amar komola rong posondo,আমার কমলা রং পছন্দ ,Amar komola rong posondo
I like brown,আমার খয়েরি রং পছন্দ ,Amar khoyeri rong pochondo,আমার খয়েরি রং পছন্দ ,Amar khoyeri rong posondo,আমার খয়েরি রং পছন্দ ,Amar khoyeri rong posondo
Don’t like apples,আপেল পছন্দ না,Apple pochondo na,আফেল দেহিত না,Afel dehit na,আপেল ভালা না,Afel bala na
I caught a cold,আমার ঠান্ডা লেগেছে,Amar thanda legeche,আর তুন তান্দা লাইগ্গে ,Ar tun tanda laigge,আমার ঠান্ডা লাগছে,Amar ṭhanḍa lagse
Caught a cold,ঠান্ডা লেগেছে,Thanda legeche,তান্দা লাইগ্গে ,Tanda laigge,ঠান্ডা লাগছে,Ṭhanḍa lagse
I went abroad,আমি বিদেশে গেছিলাম,Ami bideshe gechilam,আই বিদেশত গেইলাম ,Ai bideshot geilam,আমি বিদেশ গেছলাম,Ami bidesh geslam
Went abroad,বিদেশে গেছিলাম,Bideshe gechilam,বিদেশত গেইলাম ,Bideshot geilam,বিদেশ গেছলাম,Bidesh geslam
Take me there,আমাকে ওখানে নিয়ে চলুন,Amake okhane niye cholun,আরে ঐইন্দি লই জো,Are oindi loi zo,আমারে হন লইগা যাউকগা ,Amare hon loiga zaukga
Take there,ওখানে নিয়ে চলুন,Okhane niye cholun,ঐইন্দি লই জো,Oindi loi zo,হন লইগা যাউকগা ,Hon loiga zaukga
Take,নিয়ে চলুন,Niye cholun,লই জো,Loi zo,লইগা যাউকগা ,Loiga zaukga
Shimu likes white,শিমুর সাদা রং পছন্দ ,Shimur shada rong pochondo,শিমুর সাদা রং পছন্দ ,Shimur sada rong posondo,শিমুর সাদা রং পছন্দ ,Shimur shada rong posondo
Shimu likes blue,শিমুর নীল রং পছন্দ ,Shimur neel rong pochondo,শিমুর নীল রং পছন্দ ,Shimur nil rong posondo,শিমুর নীল রং পছন্দ ,Shimur nil rong posondo
Shimu likes purple,শিমুর বেগুনি রং পছন্দ ,Shimur beguni rong pochondo,শিমুর বেগুনি রং পছন্দ ,Shimur beguni rong posondo,শিমুর বেগুনি রং পছন্দ ,Shimur beguni rong posondo
Don’t call,ডাকবেন না,Dakben na,নো ডাইক্কো,No daikko,ডাকবা না,Ḍakba na
Call me,আমাকে ডাকবেন ,Amake dakben,আরে ডাইক্কো,Are daikko,আমারে ডাকবা ,Amare ḍakba
I like apples,আমি আপেল পছন্দ করি,Ami apple pochondo kori,আই আফেল দেহিত ফারি,Ai afel dehit fari,আমি আপেল ভালা ফাই,Ami afel bala fai
Like apples,আপেল পছন্দ করি,Apple pochondo kori,আফেল দেহিত ফারি,Afel dehit fari,আপেল ভালা ফাই,Afel bala fai
It’s over,শেষ হয়ে গেছে,Shesh hoye geche,শেষ ওই গিয়োই ,Shesh oi giyoi,ফুরাই গেছে,Furai gese
Is over,হয়ে গেছে,Hoye geche,ওই গিয়োই ,Oi giyoi,গেছে,Gese
Time’s up,সময় শেষ,Shomoy shesh,সময় শেষ ,Shomoy shesh,সময় ফুরাই,Shomoy furai
We will wait,আমরা অপেক্ষা করবো ,Amra opekkha korbo,আরা অফেক্ষা কইজ্জুম ,Ara ofekkha koijjum,আমরা উবাইমু নে,Amra ubaimu ne
Will wait,অপেক্ষা করবো ,Opekkha korbo,অফেক্ষা কইজ্জুম ,Ofekkha koijjum,উবাইমু নে,Ubaimu ne
He stood up,তিনি উঠে দাঁড়ালেন,Tini uthe daralen,এবা উথি গিয়োয়,Eba uthi giyoi,তাইন উঠিয়া দাড়াইলা ,Tain uṭhiya daṛaila
Stood up,উঠে দাঁড়ালেন,Uthe daralen,উথি গিয়োয়,Uthi giyoi,উঠিয়া দাড়াইলা ,Uṭhiya daṛaila
He stood,তিনি  দাঁড়ালেন,Tini daralen,এবা গিয়োয়,Eba giyoi,তাইন দাড়াইলা ,Tain daṛaila
I like blue,আমার নীল রং পছন্দ ,Amar neel rong pochondo,আমার নীল রং পছন্দ ,Amar nil rong posondo,আমার নীল রং পছন্দ ,Amar nil rong posondo
I like purple,আমার বেগুনি রং পছন্দ ,Amar beguni rong pochondo,আমার বেগুনি রং পছন্দ ,Amar beguni rong posondo,আমার বেগুনি রং পছন্দ ,Amar beguni rong posondo
I like pink,আমার গোলাপি রং পছন্দ ,Amar golapi rong pochondo,আমার গোলাপি রং পছন্দ ,Amar gulapi rong posondo,আমার গোলাপি রং পছন্দ ,Amar gulafi rong posondo
